33600, 4200, 4200
dwtsd'yoscyTraining model of 5 layers with 32 neurons each for 60 epochs 
[learning rate is 0.0003]
[Activation Function is Sigmoid]
[HeInitialization is False]


Epoch [36/60],  Train Loss: 0.4686, Train Accuracy: 87.11%, Val Loss: 0.4988, Val Accuracy: 86.76%, Test Loss: 0.4631, Test Accuracy: 87.38%
Epoch [37/60],  Train Loss: 0.4576, Train Accuracy: 87.39%, Val Loss: 0.4889, Val Accuracy: 87.14%, Test Loss: 0.4533, Test Accuracy: 87.71%
Epoch [38/60],  Train Loss: 0.4474, Train Accuracy: 87.64%, Val Loss: 0.4798, Val Accuracy: 87.33%, Test Loss: 0.4442, Test Accuracy: 87.93%
Epoch [39/60],  Train Loss: 0.4380, Train Accuracy: 87.85%, Val Loss: 0.4714, Val Accuracy: 87.60%, Test Loss: 0.4359, Test Accuracy: 88.14%
Epoch [40/60],  Train Loss: 0.4292, Train Accuracy: 88.07%, Val Loss: 0.4636, Val Accuracy: 87.83%, Test Loss: 0.4281, Test Accuracy: 88.36%
Epoch [41/60],  Train Loss: 0.4209, Train Accuracy: 88.26%, Val Loss: 0.4563, Val Accuracy: 88.02%, Test Loss: 0.4209, Test Accuracy: 88.57%
Epoch [42/60],  Train Loss: 0.4131, Train Accuracy: 88.46%, Val Loss: 0.4495, Val Accuracy: 88.14%, Test Loss: 0.4141, Test Accuracy: 88.74%
Epoch [43/60],  Train Loss: 0.4057, Train Accuracy: 88.70%, Val Loss: 0.4431, Val Accuracy: 88.38%, Test Loss: 0.4077, Test Accuracy: 88.93%
Epoch [44/60],  Train Loss: 0.3987, Train Accuracy: 88.90%, Val Loss: 0.4370, Val Accuracy: 88.43%, Test Loss: 0.4016, Test Accuracy: 88.95%
Epoch [45/60],  Train Loss: 0.3919, Train Accuracy: 89.11%, Val Loss: 0.4313, Val Accuracy: 88.60%, Test Loss: 0.3959, Test Accuracy: 89.12%
Epoch [46/60],  Train Loss: 0.3855, Train Accuracy: 89.31%, Val Loss: 0.4258, Val Accuracy: 88.95%, Test Loss: 0.3904, Test Accuracy: 89.24%
Epoch [47/60],  Train Loss: 0.3794, Train Accuracy: 89.47%, Val Loss: 0.4205, Val Accuracy: 89.02%, Test Loss: 0.3852, Test Accuracy: 89.55%
Epoch [48/60],  Train Loss: 0.3735, Train Accuracy: 89.58%, Val Loss: 0.4155, Val Accuracy: 89.10%, Test Loss: 0.3802, Test Accuracy: 89.69%
Epoch [49/60],  Train Loss: 0.3678, Train Accuracy: 89.74%, Val Loss: 0.4107, Val Accuracy: 89.29%, Test Loss: 0.3753, Test Accuracy: 89.76%
Epoch [50/60],  Train Loss: 0.3623, Train Accuracy: 89.90%, Val Loss: 0.4061, Val Accuracy: 89.38%, Test Loss: 0.3707, Test Accuracy: 89.86%
Epoch [51/60],  Train Loss: 0.3570, Train Accuracy: 90.05%, Val Loss: 0.4016, Val Accuracy: 89.48%, Test Loss: 0.3662, Test Accuracy: 90.07%
Epoch [52/60],  Train Loss: 0.3518, Train Accuracy: 90.21%, Val Loss: 0.3972, Val Accuracy: 89.43%, Test Loss: 0.3619, Test Accuracy: 90.17%
Epoch [53/60],  Train Loss: 0.3468, Train Accuracy: 90.35%, Val Loss: 0.3930, Val Accuracy: 89.57%, Test Loss: 0.3577, Test Accuracy: 90.21%
Epoch [54/60],  Train Loss: 0.3419, Train Accuracy: 90.49%, Val Loss: 0.3889, Val Accuracy: 89.62%, Test Loss: 0.3536, Test Accuracy: 90.45%
Epoch [55/60],  Train Loss: 0.3372, Train Accuracy: 90.64%, Val Loss: 0.3850, Val Accuracy: 89.69%, Test Loss: 0.3497, Test Accuracy: 90.55%
Epoch [56/60],  Train Loss: 0.3326, Train Accuracy: 90.76%, Val Loss: 0.3811, Val Accuracy: 89.71%, Test Loss: 0.3459, Test Accuracy: 90.79%
Epoch [57/60],  Train Loss: 0.3281, Train Accuracy: 90.89%, Val Loss: 0.3774, Val Accuracy: 89.81%, Test Loss: 0.3422, Test Accuracy: 90.79%
Epoch [58/60],  Train Loss: 0.3238, Train Accuracy: 91.05%, Val Loss: 0.3737, Val Accuracy: 89.90%, Test Loss: 0.3386, Test Accuracy: 90.83%
Epoch [59/60],  Train Loss: 0.3195, Train Accuracy: 91.14%, Val Loss: 0.3702, Val Accuracy: 90.02%, Test Loss: 0.3350, Test Accuracy: 90.90%
Epoch [60/60],  Train Loss: 0.3154, Train Accuracy: 91.26%, Val Loss: 0.3668, Val Accuracy: 90.19%, Test Loss: 0.3316, Test Accuracy: 91.10%
Total Time taken = 191.55699944496155
